STN,37022_ANTSIRABE_AERO,34155_ANTANANARIVO_DMH,34166_IVATO_AERO,36516_IFANJA,36537_ANKADINONDRY_SAKAY,36520_MIARINARIVO,STN_mean
1981-01-01,11.099,0,0.062,0.618,3.988,0.453,2.703333333
1981-01-02,0,0.465,0.095,0.42,0,0.711,0.281833333
1981-01-03,2.293,0,0,0.801,1.085,1.117,0.882666667
1981-01-04,0.172,0,0,0,0.042,0,0.035666667
1981-01-05,0,0,0,32.397,44.109,20.606,16.18533333
1981-01-06,0,0.069,0.279,0.241,21.973,0,3.760333333
1981-01-07,6.497,8.692,9.695,9.558,23.39,7.555,10.89783333
1981-01-08,14.815,6.1,8.247,8.024,6.826,9.095,8.851166667
1981-01-09,15.113,26.391,21.856,10.671,1.774,7.97,13.9625
1981-01-10,9.119,102.822,81.535,11.919,16.987,3.355,37.62283333
1981-01-11,8.441,36.085,37.494,3.557,21.658,0.19,17.90416667
1981-01-12,10.221,21.261,20.951,1.882,6.514,1.676,10.4175
1981-01-13,4.183,12.422,9.147,15.284,7.148,13.573,10.29283333
1981-01-14,0.212,6.347,6.75,0,8.707,0.625,3.7735
1981-01-15,0,0,0,3.515,5.375,2.106,1.832666667
1981-01-16,0,0,0,0,0,0,0
1981-01-17,0,0,0,0,0,0,0
1981-01-18,0,0,0,0,0,0,0
1981-01-19,0,0,0,0.921,1.095,0.552,0.428
1981-01-20,0,0,0,0,0,0,0
1981-01-21,0,0,0,0,0,0,0
1981-01-22,0,0,0,0,0,0,0
1981-01-23,0,0.045,0,0,10.849,0,1.815666667
1981-01-24,0.685,1.382,0.469,0.553,0.403,0.748,0.706666667
1981-01-25,0,0.016,0.01,0,0,0,0.004333333
1981-01-26,0,0,0,0.015,0,0.02,0.005833333
1981-01-27,0,0,0,0,0,0,0
1981-01-28,0,0,0,0,2.607,0,0.4345
1981-01-29,0,0,0,0,0,0,0
1981-01-30,14.155,18.356,23.154,3.887,7.702,2.374,11.60466667
1981-01-31,8.428,25.689,30.994,25.899,17.146,17.947,21.01716667
1981-02-01,0.016,0.322,0.636,1.04,11.572,0,2.264333333
1981-02-02,20.214,22.772,17.544,11.045,17.877,2.843,15.3825
1981-02-03,11.269,0.373,9.123,0.021,0.009,0,3.465833333
1981-02-04,0.019,0.09,2.718,0.464,7.793,0,1.847333333
1981-02-05,6.824,0,0,0,6.421,0,2.2075
1981-02-06,6.539,0,0,0.005,9.799,0,2.723833333
1981-02-07,0.506,13.61,16.413,2.602,9.895,1.831,7.476166667
1981-02-08,9.799,17.946,2.269,0.031,4.653,0,5.783
1981-02-09,19.75,27.653,18.518,0.138,0,0.038,11.01616667
1981-02-10,9.318,0.175,0.244,1.16,12.797,0,3.949
1981-02-11,1.477,0,0,0.68,1.181,0.948,0.714333333
1981-02-12,5.921,0,0,3.052,12.054,2.919,3.991
1981-02-13,0,0,0,0,0,0,0
1981-02-14,0,0,0,1.188,9.294,0.712,1.865666667
1981-02-15,0.459,0,0,0,3.373,0,0.638666667
1981-02-16,0,0.002,0.002,0,0,0,0.000666667
1981-02-17,0,1.939,0.803,6.06,0.049,6.526,2.562833333
1981-02-18,0,0.046,0.026,8.427,0.056,6.384,2.489833333
1981-02-19,9.215,5.937,5.847,6.188,2.791,5.083,5.8435
1981-02-20,4.611,4.778,1.026,5.069,10.708,4.99,5.197
1981-02-21,36.178,7.666,10.114,9.542,26.551,8.671,16.45366667
1981-02-22,6.452,3.802,12.398,13.254,28.747,7.878,12.0885
1981-02-23,0,2.873,11.166,10.964,5.701,9.06,6.627333333
1981-02-24,20.561,4.326,6.813,2.36,10.552,0.114,7.454333333
1981-02-25,49.796,45.687,26.103,29.611,27.865,27.339,34.40016667
1981-02-26,32.115,11.888,7.604,0.738,9.237,0.048,10.27166667
1981-02-27,28.977,25.647,28.012,3.409,11.081,2.693,16.6365
1981-02-28,6.753,29.181,34.826,11.115,14.295,5.464,16.939
1981-03-01,10.588,19.451,10.34,13.367,7.804,14.75,12.71666667
1981-03-02,12.141,43.698,39.467,0.605,40.31,0.258,22.7465
1981-03-03,0,42,44.405,20.022,20.264,24.543,25.20566667
1981-03-04,0.074,18.302,24.341,1.01,7.645,0.06,8.572
1981-03-05,1.864,3.063,1.855,0.874,1.985,1.432,1.8455
1981-03-06,5.551,5.541,13.499,1.632,20.512,0.066,7.800166667
1981-03-07,21.5,16.565,19.477,2.131,11.993,1.595,12.21016667
1981-03-08,4.825,21.905,20.644,3.31,10.508,0.354,10.25766667
1981-03-09,0.029,4.303,2.838,0.049,0.607,0.066,1.315333333
1981-03-10,0,0.009,0,0,0,0,0.0015
1981-03-11,0.021,2.105,10.532,9.685,12.943,8.607,7.3155
1981-03-12,0,0.903,0.005,0,0,0,0.151333333
1981-03-13,1.329,28.213,20.362,15.562,0,15.449,13.48583333
1981-03-14,15.137,18.111,13.17,0.032,0,0.125,7.7625
